label_cleaned,altLabels
follow procedures to control substances hazardous to health,comply with guidelines for use of hazardous substances follow control of health procedures for hazardous substances follow health procedures for the  control of hazardous substances follow control of substances hazardous to health procedures ensure safe use of substances hazardous to health
assess visual impact of displays,assessing the visual impact of displays test visual impact of displays assess the visual impact of displays assess the visual impact of a display check visual impact of displays judge visual impact of displays assess visual impact of displays appraise visual impact of displays
select glassware for serving,determine glassware for use and inspect for cleanliness select glassware for serving select glasswares for serving select glassware
cardiovascular system,anatomy and physiology of the heart and vascular system cardiovascular anatomy and physiology cardiovascular systems cardiovascular system
biosecurity related to animals,biosecurity related to an animal awareness of hygiene and security measures related to animals biosecurity measures when working with animals bio-security related to animals biosecurity related to animals
check information on prescriptions,check prescription's information verify information on prescription verify information on prescriptions ensure accuracy of prescriptions check information on prescriptions check prescription information
assume responsibility for maintaining a safe ship environment,assume accountability for maintaining a safe vessel environment assume responsibility for maintaining a safe vessel environment assume accountability for maintaining a safe ship environment maintain safety of vessel environment ensure a safe on board environment assume responsibility for maintaining a safe environment on vessels assume responsibility for maintaining a safe environment on ships maintain a safety of ship environment ensure the safety of crew and passengers on board vessel ensure the safety of crew and passengers on board ship assume responsibility for maintaining a safe ship environment ensure a safe environment on board
follow hygienic practices in fishery operations,employing hygienic practices in fishery operations follow hygienic practices in fishery operations follow hygienic operational practices in fisheries employing hygienic operational practices in fisheries employ hygienic practices in fishery operations following hygienic practices in fishery operations following hygienic operational practices in fisheries employ hygienic operational practices in fisheries
supervise work on design planning,supervising the work on design planning develop work on design planning produce work on design planning supervising work on design planning supervise the work on design planning model work on design planning supervise work on design planning arrange work on design planning
measure trees,measure trees measure tree height measuring trees gauge tree measurement measure the trees
bend staves,bending staves shape staves form staves bend staves curve staves bow staves bend stave
select music for performance,determine music pieces select which music to perform select performance music choose music scores select music for performance
geological mapping,geological map geologic mapping geological mapping
tend electron beam welding machine,guard electron beam welding machine oversee electron beam welding machine watch electron beam heating and bonding machine units oversee electron beam heating and bonding machine units tend electron beam welding machine monitor electron beam heating and bonding machine units monitor electron beam welding machine guard electron beam heating and bonding machine units watch electron beam welding machine
ensure infrastructure accessibility,ensure facilities are accessible to people with disabilities consult on infrastructure accessibility provide accessible facilities
